DATE,TYPE,FROMPORTFOLIO,TOPORTFOLIO,OUTAMOUNT,OUTCURRENCY,FEEAMOUNT,FEECURRENCY,FROMADDRESS,TOADDRESS,OUTTXID,OUTTXURL,INAMOUNT,INCURRENCY,INTXID,INTXURL,ORDERID,PERSONALNOTE
2025-11-19T15:28:41.000Z,deposit,,exodus_0,,,,,bc1q0q7huh04gzxuduh9nff6gyqcs392jaz3m5j05a,,,,0.00470444,BTC,c266a355ad4aa68d3e26757eaf290b926a31b1faf5e2a31ebfa0caca81f9af1a,https://mempool.space/tx/c266a355ad4aa68d3e26757eaf290b926a31b1faf5e2a31ebfa0caca81f9af1a,,
2025-11-19T15:49:54.000Z,withdrawal,exodus_0,,-0.0021926,BTC,-0.00000322,BTC,,18ozAo6GHiYFu6hxuTHUYqmaiXcwq2N6BK,1c63d6cda0c3eb2b9501191a85ebec72e5585b2eb062dbb45b768ee3f9946670,https://mempool.space/tx/1c63d6cda0c3eb2b9501191a85ebec72e5585b2eb062dbb45b768ee3f9946670,,,,,,
2025-11-19T15:49:55.000Z,withdrawal,exodus_0,,-0.00221347,BTC,-0.00000322,BTC,,bc1qj8nm7uen07wjv8c57u7k96qacxfd9epfnf4jh0,01a5bd0e293036659b215369c5f5ed6ec66aa03b0b61ffe40a1544d1490a3dba,https://mempool.space/tx/01a5bd0e293036659b215369c5f5ed6ec66aa03b0b61ffe40a1544d1490a3dba,,,,,,
2025-11-19T18:32:57.000Z,withdrawal,exodus_0,,-0.00019404,BTC,-0.00000643,BTC,,bc1qfs6f34spftgj4vaehmvupljvf6p3n8c3e9ttu9,f0ff48139b6edf4f86f7268d0b7b964b440bd1c9a4df6b535f62ca328701443c,https://mempool.space/tx/f0ff48139b6edf4f86f7268d0b7b964b440bd1c9a4df6b535f62ca328701443c,,,,,,
2025-11-27T20:12:07.000Z,deposit,,exodus_0,,,,,bc1q0q7huh04gzxuduh9nff6gyqcs392jaz3m5j05a,,,,0.00874503,BTC,7b7628e82fe69add6675aa92cb2a475b00dfb07fa8b90e65d378459bd7290afa,https://mempool.space/tx/7b7628e82fe69add6675aa92cb2a475b00dfb07fa8b90e65d378459bd7290afa,,
2025-11-28T07:37:20.000Z,withdrawal,exodus_0,,-0.00229604,BTC,-0.00000465,BTC,,bc1qgyc72h62ee4qk6d6tfw96e2y37azu0lup0qghx,f939ac7ac980ef6062c3fc906b0b1525c9192f01c3ff1af25769c0ca5a8f63e1,https://mempool.space/tx/f939ac7ac980ef6062c3fc906b0b1525c9192f01c3ff1af25769c0ca5a8f63e1,,,,,,
2025-11-28T17:06:12.000Z,withdrawal,exodus_0,,-0.00054976,BTC,-0.00000322,BTC,,bc1ql6hflrmskcxu0kjucgwcsmv525xu04hx5xn3y6,e69053116d97bcdc5300bddc76485819df4aadcbaae56af0be749c5f1bfae169,https://mempool.space/tx/e69053116d97bcdc5300bddc76485819df4aadcbaae56af0be749c5f1bfae169,,,,,,
2025-11-30T08:24:49.000Z,withdrawal,exodus_0,,-0.00164726,BTC,-0.00000322,BTC,,bc1qusuuc2yjdkhnpukeg2jmnjrrlsmmg5zzm9nep4,853b389afb7064d793cd7700decea35ce8a7ea46d11862ae32d53e7bc740cca4,https://mempool.space/tx/853b389afb7064d793cd7700decea35ce8a7ea46d11862ae32d53e7bc740cca4,,,,,,
2025-11-30T11:09:02.000Z,withdrawal,exodus_0,,-0.00054804,BTC,-0.00000322,BTC,,bc1q9t7t535rwx2jxn5xh53vr48hh8ga6nz0y5639c,1994a09cf2e7b1cc5c0740bb10ab2a252bbf819e4854db69b7ed0cd91fc25bbd,https://mempool.space/tx/1994a09cf2e7b1cc5c0740bb10ab2a252bbf819e4854db69b7ed0cd91fc25bbd,,,,,,
2025-11-30T11:32:56.000Z,withdrawal,exodus_0,,-0.00021922,BTC,-0.00000322,BTC,,bc1q9t7t535rwx2jxn5xh53vr48hh8ga6nz0y5639c,99c0a26487ad742e8e991b9e9b4b23c1a4685f0b6334eef86dedf613e1f1cdb9,https://mempool.space/tx/99c0a26487ad742e8e991b9e9b4b23c1a4685f0b6334eef86dedf613e1f1cdb9,,,,,,
2025-11-30T20:18:25.000Z,withdrawal,exodus_0,,-0.0002187,BTC,-0.00000322,BTC,,bc1qzd9f5ss4twqzfpvdx2ayzsvgy2y935gxdkn0na,07b27a0b4243f50e1dd2395f51d5fc423e0776ec8a04fa859d9737935ddce893,https://mempool.space/tx/07b27a0b4243f50e1dd2395f51d5fc423e0776ec8a04fa859d9737935ddce893,,,,,,
2025-12-01T12:23:17.000Z,withdrawal,exodus_0,,-0.00034927,BTC,-0.00000322,BTC,,bc1qzd9f5ss4twqzfpvdx2ayzsvgy2y935gxdkn0na,1b72b62677f3ebf1ed0c07852b5a029a898befa2dbd4b404c8013e388bb8b01c,https://mempool.space/tx/1b72b62677f3ebf1ed0c07852b5a029a898befa2dbd4b404c8013e388bb8b01c,,,,,,
2025-12-02T17:53:41.000Z,withdrawal,exodus_0,,-0.00294436,BTC,-0.00000964,BTC,,bc1q8v4natk4zzzavzvqp0fl2ep3fkpnyzk33v4wzd0mfn5rchjrqadqggza6q,c287d4fbd77ef2e32e0196af577916043f0155e8e316cf72f38ccf5e3c361d3c,https://mempool.space/tx/c287d4fbd77ef2e32e0196af577916043f0155e8e316cf72f38ccf5e3c361d3c,,,,,,
2025-12-02T21:55:04.000Z,deposit,,exodus_0,,,,,bc1q0q7huh04gzxuduh9nff6gyqcs392jaz3m5j05a,,,,0.01082816,BTC,88c8a21dd31a89c1e25cf9b5585d14046d58add6b211fdd1dcba1c10c3b43cb5,https://mempool.space/tx/88c8a21dd31a89c1e25cf9b5585d14046d58add6b211fdd1dcba1c10c3b43cb5,,
2025-12-02T21:55:05.000Z,withdrawal,exodus_0,,-0.00065608,BTC,-0.00000961,BTC,,bc1qzd9f5ss4twqzfpvdx2ayzsvgy2y935gxdkn0na,d3580a8827411be8b5239c55bc4b1366e247254f139f92bb79bfa7a77e57de89,https://mempool.space/tx/d3580a8827411be8b5239c55bc4b1366e247254f139f92bb79bfa7a77e57de89,,,,,,
2025-12-09T18:34:01.000Z,withdrawal,exodus_0,,-0.00063902,BTC,-0.00000322,BTC,,bc1qzd9f5ss4twqzfpvdx2ayzsvgy2y935gxdkn0na,d04f88120d3f08090cf326299633909195633e2db3759e109b005955683a8aa9,https://mempool.space/tx/d04f88120d3f08090cf326299633909195633e2db3759e109b005955683a8aa9,,,,,,
2025-12-11T13:49:53.000Z,withdrawal,exodus_0,,-0.00022208,BTC,-0.00000804,BTC,,bc1qzd9f5ss4twqzfpvdx2ayzsvgy2y935gxdkn0na,b72abab7a0b64ce6dc47b98f49d63900d94408afc6cca55b1ef1c003c0d9779d,https://mempool.space/tx/b72abab7a0b64ce6dc47b98f49d63900d94408afc6cca55b1ef1c003c0d9779d,,,,,,
2025-12-20T19:50:33.000Z,deposit,,exodus_0,,,,,bc1q0q7huh04gzxuduh9nff6gyqcs392jaz3m5j05a,,,,0.02244539,BTC,c60ae71db3c84e90b3fbc2b6386c62eb58575935864bce2aaebc3766ef7ede0f,https://mempool.space/tx/c60ae71db3c84e90b3fbc2b6386c62eb58575935864bce2aaebc3766ef7ede0f,,
2025-12-20T19:55:31.000Z,withdrawal,exodus_0,,-0.01984082,BTC,-0.00000465,BTC,,bc1qedk7jjzyqnccre26wwa7uc9gqhf5qplhll34e2,5fded268452abbedc833c0926022a9419b41d855a93f73347e85a4c5d68af707,https://mempool.space/tx/5fded268452abbedc833c0926022a9419b41d855a93f73347e85a4c5d68af707,,,,,,
2026-01-03T23:41:41.000Z,withdrawal,exodus_0,,-0.00082765,BTC,-0.00000322,BTC,,19MCFSvTJX7aJRfBGubsGeHsjBX3ah3dby,3cf76826f7bf3143d8df498cec1514d5e4a9c621db4c371224e5227c1fddbece,https://mempool.space/tx/3cf76826f7bf3143d8df498cec1514d5e4a9c621db4c371224e5227c1fddbece,,,,,,
2026-01-04T18:49:12.000Z,withdrawal,exodus_0,,-0.00175441,BTC,-0.00000322,BTC,,bc1qhwfrnmkd8va953dcgd0mmp2cw60jea0k8s65ks,db62f47695ec4085258280838a2db8008dfd1d179a60814ce31c02cdefbff8a3,https://mempool.space/tx/db62f47695ec4085258280838a2db8008dfd1d179a60814ce31c02cdefbff8a3,,,,,,
2026-01-06T18:04:24.000Z,withdrawal,exodus_0,,-0.00545958,BTC,-0.00000482,BTC,,bc1qedk7jjzyqnccre26wwa7uc9gqhf5qplhll34e2,e598149a6ddab32f5f255df369a7c5195e2612348487cbffee37df78d6fff1ee,https://mempool.space/tx/e598149a6ddab32f5f255df369a7c5195e2612348487cbffee37df78d6fff1ee,,,,,,
2026-01-09T23:43:48.000Z,withdrawal,exodus_0,,-0.0038639,BTC,-0.00000346,BTC,,bc1pp4z4dsjx02ngcxhwx7c9wrtfuvptyv27ujmcth7qv79wjkcg60ssuq5m3f,6f94a27939adc95ffd21de577a4375c93baa0e9a1f077c71391e829acfebf51c,https://mempool.space/tx/6f94a27939adc95ffd21de577a4375c93baa0e9a1f077c71391e829acfebf51c,,,,,,
2026-02-01T11:58:58.000Z,deposit,,exodus_0,,,,,bc1q0q7huh04gzxuduh9nff6gyqcs392jaz3m5j05a,,,,0.00127645,BTC,649809bcd4d1f673e53ea3192f4acdd2a189486a13cd4852b77b5a90d0b2aed8,https://mempool.space/tx/649809bcd4d1f673e53ea3192f4acdd2a189486a13cd4852b77b5a90d0b2aed8,,
2026-02-01T11:58:59.000Z,withdrawal,exodus_0,,-0.00006382,BTC,-0.00000322,BTC,,1376W5B6EapYLe9QJyeWYzi1L99mGiyb5G,9c43111f310465a78f64edea7715d2ae7378392b57e9f08c693e5d1ffd2123e8,https://mempool.space/tx/9c43111f310465a78f64edea7715d2ae7378392b57e9f08c693e5d1ffd2123e8,,,,,,
